strain,shear_stress
2e-05,-28.209262
2.2e-05,-14.658176
2.4e-05,-47.155677
2.6e-05,-20.339635
2.8e-05,-103.39024
3e-05,19.41398
3.2e-05,-43.068414
3.4e-05,-47.169543
3.6e-05,1.9900426
3.8e-05,-16.845861
4e-05,-8.1585029
4.2e-05,-59.170286
4.4e-05,-53.707262
4.6e-05,-95.021954
4.8e-05,-52.074204
5e-05,29.284243
5.2e-05,-26.583187
5.4e-05,-123.84133
5.6e-05,-53.750007
5.8e-05,74.368853
6e-05,-221.54523
6.2e-05,-67.056873
6.4e-05,-32.623736
6.6e-05,-7.6227144
6.8e-05,-12.15567
7e-05,-72.517951
7.2e-05,-54.88504
7.4e-05,-24.837748
7.6e-05,-92.321812
7.8e-05,-91.248931
8e-05,-22.241592
8.2e-05,-97.197051
8.4e-05,-29.468176
8.6e-05,-3.1372828
8.8e-05,-173.38439
9e-05,-59.29236
9.2e-05,-64.289501
9.4e-05,-45.477918
9.6e-05,-65.812053
9.8e-05,-129.38221
0.0001,-75.202778
0.000102,-85.376692
0.000104,-235.34011
0.000106,88.051583
0.000108,-158.37861
0.00011,84.216806
0.000112,-165.24606
0.000114,-106.25086
0.000116,-53.2251
0.000118,-126.43328
0.00012,-175.15958
0.000122,-132.46975
0.000124,-172.8497
0.000126,-111.62745
0.000128,-44.112137
0.00013,-157.05655
0.000132,-41.947817
0.000134,-66.82282
0.000136,-102.36186
0.000138,-13.97925
0.00014,-52.914582
0.000142,-77.907089
0.000144,-4.1044326
0.000146,-129.92243
0.000148,-110.4241
0.00015,-114.48042
0.000152,-198.08784
0.000154,-60.873802
0.000156,-29.004951
0.000158,-175.83985
0.00016,-113.17443
0.000162,-7.0746825
0.000164,-188.29255
0.000166,-125.25558
0.000168,-33.422716
0.00017,-95.210549
0.000172,-136.83033
0.000174,-145.60116
0.000176,-95.409108
0.000178,-43.232705
0.00018,-126.55617
0.000182,-106.29181
0.000184,-125.65304
0.000186,-145.46224
0.000188,-319.3759
0.00019,-167.47705
0.000192,-181.72633
0.000194,-24.930748
0.000196,-152.82927
0.000198,-246.21932
0.0002,-35.473097
0.000202,-181.92618
0.000204,-126.64874
0.000206,-164.13253
0.000208,-82.027218
0.00021,-200.3577
0.000212,-86.190929
0.000214,-94.222042
0.000216,-262.79317
0.000218,-185.97124
0.00022,-200.21188
